Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352623.2084203,543,0,0,,42.33726333333334,-71.089675,16.7,327851.32817464793,4689338.067896225,19.0,T,0
1646352624.2115183,544,0,0,,42.33726333333334,-71.089675,16.7,327851.32817464793,4689338.067896225,19.0,T,0
1646352625.2074704,545,0,0,,42.33726333333334,-71.089675,16.7,327851.32817464793,4689338.067896225,19.0,T,0
1646352626.2117298,546,0,0,,42.33726333333334,-71.089675,16.8,327851.32817464793,4689338.067896225,19.0,T,0
1646352627.214083,547,0,0,,42.33726333333334,-71.089675,16.8,327851.32817464793,4689338.067896225,19.0,T,0
1646352628.2133875,548,0,0,,42.33726333333334,-71.08967333333334,16.8,327851.4654813903,4689338.064521992,19.0,T,0
1646352629.2068815,549,0,0,,42.33726333333334,-71.08967333333334,16.8,327851.4654813903,4689338.064521992,19.0,T,0
1646352630.2277277,550,0,0,,42.33726333333334,-71.08967333333334,16.9,327851.4654813903,4689338.064521992,19.0,T,0
1646352631.2128499,551,0,0,,42.33726333333334,-71.08967333333334,16.9,327851.4654813903,4689338.064521992,19.0,T,0
1646352632.2307935,552,0,0,,42.33726333333334,-71.08967333333334,16.9,327851.4654813903,4689338.064521992,19.0,T,0
1646352633.2115498,553,0,0,,42.33726333333334,-71.08967333333334,16.9,327851.4654813903,4689338.064521992,19.0,T,0
1646352634.2115743,554,0,0,,42.33726166666666,-71.08967333333334,16.9,327851.4609333906,4689337.879451348,19.0,T,0
1646352635.2121284,555,0,0,,42.33726166666666,-71.08967333333334,17.0,327851.4609333906,4689337.879451348,19.0,T,0
1646352636.2061946,556,0,0,,42.33726166666666,-71.08967333333334,17.0,327851.4609333906,4689337.879451348,19.0,T,0
1646352637.211043,557,0,0,,42.33726166666666,-71.08967333333334,17.0,327851.4609333906,4689337.879451348,19.0,T,0
1646352638.2129676,558,0,0,,42.33726166666666,-71.08967166666667,17.0,327851.59824013873,4689337.876077119,19.0,T,0
